source_id	title_a	title_b	lang_gloss	date_start	date_end	Bib	Gomilet	Bog	Agiogr	Pov	Litur	Epi	Letop	Hron	Docum
1456	ДАИ II			1613	1645		+	+							
1457	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1458	Авв.Кн.обл., Ав.Кн.обл.			1679	1679		+								
1459	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1460	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1461	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1462	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1463	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1464	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1465	ДАИ II			1613	1645		+	+							
1466	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1467	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1468	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1469	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1470	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1471	Заговоры			15		+	+								
1472	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1473	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1474	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1475	ДАИ II			1613	1645		+	+							
1476	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1477	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1478	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1479	ДАИ II			1613	1645		+	+							
1480	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1481	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1482	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1483	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1484	ДАИ II			1613	1645		+	+							
1485	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1486	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1487	ДАИ II			1613	1645		+	+							
1488	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1489	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1490	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1491	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1492	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1493	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1494	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1495	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1496	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1497	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1498	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1499	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
1500	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1501	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1502	Зак.Петра, I, Зак.Птр.			1697	1724			+							
1503	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1504	Авв.Ж., Ав.Ж.			1672	1675			+	+		+				
1505	Авв.Кн.бес., Ав.Кн.бес.			1669	1675			+							
